,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height,weight,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
21,17,Pidgeotto,1,Normal,Bird Pokémon,2,Normal, Flying,1.0922,30.02756,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120.0,70.0,122.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,18,Pidgeot,1,Normal,Bird Pokémon,2,Normal, Flying,1.4986000000000002,39.53432,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45.0,70.0,216.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
23,18,Mega Pidgeot,1,Normal,Bird Pokémon,2,Normal, Flying,2.2098,50.543820000000004,1,No Guard,,,579,83,80,80,135,80,121,45.0,70.0,261.0,Medium Slow,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
24,19,Rattata,1,Normal,Mouse Pokémon,1,Normal,,0.3048,3.50488,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
25,19,Alolan Rattata,1,Normal,Mouse Pokémon,2,Dark, Normal,0.3048,3.8045200000000006,3,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
26,20,Raticate,1,Normal,Mouse Pokémon,1,Normal,,0.7112,18.51866,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127.0,70.0,145.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
27,20,Alolan Raticate,1,Normal,Mouse Pokémon,2,Dark, Normal,0.7112,25.523880000000002,3,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77,127.0,70.0,145.0,Medium Fast,1,Field,,50.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
28,21,Spearow,1,Normal,Tiny Bird Pokémon,2,Normal, Flying,0.3048,2.0021400000000003,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,255.0,70.0,52.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
29,22,Fearow,1,Normal,Beak Pokémon,2,Normal, Flying,1.1938,38.036120000000004,2,Keen Eye,,Sniper,442,65,90,65,61,61,100,90.0,70.0,155.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
30,23,Ekans,1,Normal,Snake Pokémon,1,Poison,,2.0066,6.905340000000001,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,255.0,70.0,58.0,Medium Fast,2,Dragon, Field,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,24,Arbok,1,Normal,Cobra Pokémon,1,Poison,,3.5052000000000003,65.05820000000001,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,90.0,70.0,157.0,Medium Fast,2,Dragon, Field,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
32,25,Pikachu,1,Normal,Mouse Pokémon,1,Electric,,0.4064,6.00642,2,Static,,Lightning Rod,320,35,55,40,50,50,90,190.0,70.0,112.0,Medium Fast,2,Fairy, Field,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
33,25,Partner Pikachu,1,Normal,Mouse Pokémon,1,Electric,,0.4064,6.00642,1,,,Lightning Rod,430,45,80,50,75,60,120,190.0,70.0,112.0,Medium Fast,2,Fairy,Field,50.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
34,26,Raichu,1,Normal,Mouse Pokémon,1,Electric,,0.7874,30.02756,2,Static,,Lightning Rod,485,60,90,55,90,80,110,75.0,70.0,218.0,Medium Fast,2,Fairy, Field,50.0,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
35,26,Alolan Raichu,1,Normal,Mouse Pokémon,2,Electric, Psychic,0.7112,21.0202,1,Surge Surfer,,,485,60,85,50,95,85,110,75.0,70.0,218.0,Medium Fast,2,Fairy, Field,50.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
36,27,Sandshrew,1,Normal,Mouse Pokémon,1,Ground,,0.6096,12.01284,2,Sand Veil,,Sand Rush,300,50,75,85,20,30,40,255.0,70.0,60.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
37,27,Alolan Sandshrew,1,Normal,Mouse Pokémon,2,Ice, Steel,0.7112,40.03372,2,Snow Cloak,,Slush Rush,300,50,75,90,10,35,40,255.0,70.0,60.0,Medium Fast,1,Field,,50.0,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
38,28,Sandslash,1,Normal,Mouse Pokémon,1,Ground,,0.9906000000000001,29.528160000000003,2,Sand Veil,,Sand Rush,450,75,100,110,45,55,65,90.0,70.0,158.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
39,28,Alolan Sandslash,1,Normal,Mouse Pokémon,2,Ice, Steel,1.1938,55.0475,2,Snow Cloak,,Slush Rush,450,75,100,120,25,65,65,90.0,70.0,158.0,Medium Fast,1,Field,,50.0,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
40,29,Nidoran♀,1,Normal,Poison Pin Pokémon,1,Poison,,0.4064,7.0052200000000004,3,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,235.0,70.0,55.0,Medium Slow,2,Field, Monster,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
41,30,Nidorina,1,Normal,Poison Pin Pokémon,1,Poison,,0.7874,20.01686,3,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,120.0,70.0,128.0,Medium Slow,0,Undiscovered,,0.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
42,31,Nidoqueen,1,Normal,Drill Pokémon,2,Poison, Ground,1.2954,60.05512,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,45.0,70.0,227.0,Medium Slow,0,Undiscovered,,0.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
43,32,Nidoran♂,1,Normal,Poison Pin Pokémon,1,Poison,,0.508,9.00736,3,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,235.0,70.0,55.0,Medium Slow,2,Field, Monster,100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
44,33,Nidorino,1,Normal,Poison Pin Pokémon,1,Poison,,0.889,19.51746,3,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,120.0,70.0,128.0,Medium Slow,2,Field, Monster,100.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
45,34,Nidoking,1,Normal,Drill Pokémon,2,Poison, Ground,1.397,62.05726,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,45.0,70.0,227.0,Medium Slow,2,Field, Monster,100.0,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
46,35,Clefairy,1,Normal,Fairy Pokémon,1,Fairy,,0.6096,7.504620000000001,3,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,150.0,140.0,113.0,Fast,1,Fairy,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
47,36,Clefable,1,Normal,Fairy Pokémon,1,Fairy,,1.2954,40.03372,3,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,25.0,140.0,217.0,Fast,1,Fairy,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
48,37,Vulpix,1,Normal,Fox Pokémon,1,Fire,,0.6096,9.91082,2,Flash Fire,,Drought,299,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,1,Field,,25.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
49,37,Alolan Vulpix,1,Normal,Fox Pokémon,1,Ice,,0.6096,9.91082,2,Snow Cloak,,Snow Warning,299,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,1,Field,,25.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
50,38,Ninetales,1,Normal,Fox Pokémon,1,Fire,,1.0922,19.91698,2,Flash Fire,,Drought,505,73,76,75,81,100,100,75.0,70.0,177.0,Medium Fast,1,Field,,25.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
51,38,Alolan Ninetales,1,Normal,Fox Pokémon,2,Ice, Fairy,1.0922,19.91698,2,Snow Cloak,,Snow Warning,505,73,67,75,81,100,109,75.0,70.0,177.0,Medium Fast,1,Field,,25.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
52,39,Jigglypuff,1,Normal,Balloon Pokémon,2,Normal, Fairy,0.508,5.507020000000001,3,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,170.0,70.0,95.0,Fast,1,Fairy,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
53,40,Wigglytuff,1,Normal,Balloon Pokémon,2,Normal, Fairy,0.9906000000000001,12.01284,3,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,50.0,70.0,196.0,Fast,1,Fairy,,25.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
54,41,Zubat,1,Normal,Bat Pokémon,2,Poison, Flying,0.7874,7.504620000000001,2,Inner Focus,,Infiltrator,245,40,45,35,30,40,55,255.0,70.0,49.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
55,42,Golbat,1,Normal,Bat Pokémon,2,Poison, Flying,1.6002,55.0475,2,Inner Focus,,Infiltrator,455,75,80,70,65,75,90,90.0,70.0,159.0,Medium Fast,1,Flying,,50.0,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
56,43,Oddish,1,Normal,Weed Pokémon,2,Grass, Poison,0.508,5.4026000000000005,2,Chlorophyll,,Run Away,320,45,50,55,75,65,30,255.0,70.0,64.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
57,44,Gloom,1,Normal,Weed Pokémon,2,Grass, Poison,0.7874,8.607840000000001,2,Chlorophyll,,Stench,395,60,65,70,85,75,40,120.0,70.0,138.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
58,45,Vileplume,1,Normal,Flower Pokémon,2,Grass, Poison,1.1938,18.61854,2,Chlorophyll,,Effect Spore,490,75,80,85,110,90,50,45.0,70.0,221.0,Medium Slow,1,Grass,,50.0,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
59,46,Paras,1,Normal,Mushroom Pokémon,2,Bug, Grass,0.3048,5.4026000000000005,3,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,190.0,70.0,57.0,Medium Fast,2,Bug, Grass,50.0,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
60,47,Parasect,1,Normal,Mushroom Pokémon,2,Bug, Grass,0.9906000000000001,29.528160000000003,3,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,75.0,70.0,142.0,Medium Fast,2,Bug, Grass,50.0,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
61,48,Venonat,1,Normal,Insect Pokémon,2,Bug, Poison,0.9906000000000001,30.02756,3,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,190.0,70.0,61.0,Medium Fast,1,Bug,,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
62,49,Venomoth,1,Normal,Poison Moth Pokémon,2,Bug, Poison,1.4986000000000002,12.51224,3,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90,75.0,70.0,158.0,Medium Fast,1,Bug,,50.0,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
63,50,Diglett,1,Normal,Mole Pokémon,1,Ground,,0.2032,0.7990400000000001,3,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95,255.0,70.0,53.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
64,50,Alolan Diglett,1,Normal,Mole Pokémon,2,Ground, Steel,0.2032,0.9988000000000001,3,Sand Veil,Tangling Hair,Sand Force,265,10,55,30,35,45,90,255.0,70.0,53.0,Medium Fast,1,Field,,50.0,20.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
65,51,Dugtrio,1,Normal,Mole Pokémon,1,Ground,,0.7112,33.32814,3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120,50.0,70.0,149.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
66,51,Alolan Dugtrio,1,Normal,Mole Pokémon,2,Ground, Steel,0.7112,66.66082,3,Sand Veil,Tangling Hair,Sand Force,425,35,100,60,50,70,110,50.0,70.0,149.0,Medium Fast,1,Field,,50.0,20.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
67,52,Meowth,1,Normal,Scratch Cat Pokémon,1,Normal,,0.4064,4.20404,3,Pickup,Technician,Unnerve,290,40,45,35,40,40,90,255.0,70.0,58.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
68,52,Alolan Meowth,1,Normal,Scratch Cat Pokémon,1,Dark,,0.4064,4.20404,3,Pickup,Technician,Rattled,290,40,35,35,50,40,90,255.0,70.0,58.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
69,52,Galarian Meowth,1,Normal,Scratch Cat Pokémon,1,Steel,,0.4064,7.504620000000001,3,Pickup,Tough Claws,Unnerve,290,50,65,55,40,40,40,,,,Medium Fast,1,Field,,,20.0,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
70,53,Persian,1,Normal,Classy Cat Pokémon,1,Normal,,0.9906000000000001,32.0297,3,Limber,Technician,Unnerve,440,65,70,60,65,65,115,90.0,70.0,154.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
71,53,Alolan Persian,1,Normal,Classy Cat Pokémon,1,Dark,,1.0922,33.0285,3,Fur Coat,Technician,Rattled,440,65,60,60,75,65,115,90.0,70.0,154.0,Medium Fast,1,Field,,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
72,54,Psyduck,1,Normal,Duck Pokémon,1,Water,,0.7874,19.617340000000002,3,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55,190.0,70.0,64.0,Medium Fast,2,Field, Water 1,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
